Type;Folder;File;Error
Property Error;2024 - Prazdniny v Horicich;IMG-20240804-WA0000.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240804-WA0001.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240804-WA0002.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240804-WA0003.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240813-WA0002.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240813-WA0003.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240813-WA0008.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240813-WA0012.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240813-WA0019.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240813-WA0022.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240813-WA0024.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240813-WA0034.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240813-WA0035.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240813-WA0037.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240813-WA0038.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240813-WA0044.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240813-WA0045.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240813-WA0048.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240813-WA0052.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240813-WA0070.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240813-WA0077.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240813-WA0092.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240813-WA0096.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240813-WA0100.jpg;Missing Date taken
Property Error;2024 - Prazdniny v Horicich;IMG-20240813-WA0124.jpg;Missing Date taken
